# STN;YYYYMMDD;wind;rain;snow;tunder;ice;covid_shock
240;20200108;80;0;0;0;0;0
240;20200108;80;0;0;0;0;0
240;20200108;70;0;0;0;0;0
240;20200108;70;0;0;0;0;0
240;20200108;70;0;0;0;0;0
240;20200108;50;0;0;0;0;0
240;20200108;50;0;0;0;0;0
240;20200108;50;0;0;0;0;0
240;20200108;40;0;0;0;0;0
240;20200108;30;0;0;0;0;0
240;20200108;30;1;0;0;0;0
240;20200108;40;1;0;0;0;0
240;20200108;30;1;0;0;0;0
240;20200108;30;1;0;0;0;0
240;20200108;30;0;0;0;0;0
240;20200108;30;1;0;0;0;0
240;20200108;30;1;0;0;0;0
240;20200109;30;1;0;0;0;0
240;20200109;40;0;0;0;0;0
240;20200109;60;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;90;1;0;0;0;0
240;20200109;90;1;0;0;0;0
240;20200109;100;1;0;0;0;0
240;20200109;90;1;0;0;0;0
240;20200109;100;0;0;0;0;0
240;20200109;90;0;0;0;0;0
240;20200109;90;0;0;0;0;0
240;20200109;80;1;0;0;0;0
240;20200109;80;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;60;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;60;1;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200109;70;0;0;0;0;0
240;20200109;70;0;0;0;0;0
240;20200109;70;0;0;0;0;0
240;20200109;70;1;0;0;0;0
240;20200110;60;1;0;0;0;0
240;20200110;60;0;0;0;0;0
240;20200110;60;0;0;0;0;0
240;20200110;50;0;0;0;0;0
240;20200110;40;0;0;0;0;0
240;20200110;50;1;0;0;0;0
240;20200110;30;1;0;0;0;0
240;20200110;40;0;0;0;0;0
240;20200110;60;1;0;0;0;0
240;20200110;70;1;0;0;0;0
240;20200110;80;1;0;0;0;0
240;20200110;70;0;0;0;0;0
240;20200110;80;0;0;0;0;0
240;20200110;70;0;0;0;0;0
240;20200110;50;1;0;0;0;0
240;20200110;50;1;0;0;0;0
240;20200110;20;1;0;0;0;0
240;20200110;20;0;0;0;0;0
240;20200110;20;0;0;0;0;0
240;20200110;30;0;0;0;0;0
240;20200110;30;0;0;0;0;0
240;20200110;40;0;0;0;0;0
240;20200110;40;1;0;0;0;0
240;20200110;40;0;0;0;0;0
